IDCode,WSU LIFETIME GIVING,WSU YEARS OF GIVING,ASSETS,RECORD TYPE CODE,Number of relationships,Gender,Velocity35Score,Velocity57Score,AlumniCode,SportCode,GreekCode,ParticipationScore,AssetClass,ParticipationClass
5976,250,1,907400,FP,2,M,0,0,0,0,0,0,Moderate,None
5227,755,8,906882,AL,1,M,0,0,1,0,0,0,Moderate,None
4900,1125,7,905000,FP,2,F,0,0,0,0,0,0,Moderate,None
6223,116,1,903351,FP,3,F,0,0,0,0,0,0,Moderate,None
5557,500,1,903140,FP,2,M,0,0,0,0,0,0,Moderate,None
1643,20440,19,903061,AL,1,M,43,97,1,0,0,0,Moderate,None
5327,675,1,902102,FR,0,M,0,100,0,0,0,0,Moderate,None
280,20386.69,7,902020,FA,2,M,30,45,0,0,0,0,Moderate,None
3467,7802.5,23,901500,AL,1,F,69,69,1,0,0,0,Moderate,None
4124,2940,28,901500,AL,0,F,67,60,1,0,0,0,Moderate,None
5426,577,11,899700,AL,0,F,33,60,1,0,0,0,Moderate,None
6135,155,4,898518,AL,0,F,0,0,1,0,0,0,Moderate,None
4238,2507.5,16,898000,AL,1,M,0,0,1,0,0,0,Moderate,None
3384,9226,28,897677,AL,2,F,75,89,1,0,0,0,Moderate,None
6430,59,1,896500,AL,0,M,0,0,1,0,0,0,Moderate,None
924,315460.88,31,895500,AL,1,F,55,66,1,0,0,0,Moderate,None
3893,3993.32,20,894734,AL,2,M,61,98,1,0,0,0,Moderate,None
5927,260,7,894500,AL,1,M,0,0,1,0,0,0,Moderate,None
4782,1301,15,894370,AL,3,M,46,90,1,0,0,0,Moderate,None
4728,1417.5,20,894000,AL,2,F,0,33,1,0,0,0,Moderate,None
4061,3150,16,893000,FP,2,M,60,71,0,0,0,0,Moderate,None
6134,155,3,893000,AL,1,M,0,0,1,0,0,0,Moderate,None
6735,0,0,892500,FR,2,F,0,0,0,0,0,0,Moderate,None
6850,0,0,891981,FR,1,M,0,0,0,0,0,0,Moderate,None
6000,230,3,891978,FR,0,M,0,0,0,0,0,0,Moderate,None
6542,35,2,891876,AL,1,M,0,0,1,0,0,0,Moderate,None
6329,100,1,891500,AL,0,F,100,100,1,0,0,0,Moderate,None
1671,7020,16,891000,FD,1,M,55,86,0,0,0,0,Moderate,None
5343,651,12,889500,AL,1,F,0,75,1,0,0,0,Moderate,None
2575,31200,1,889352,FP,3,M,0,0,0,0,0,0,Moderate,None
721,750,5,889200,FP,3,M,0,0,0,0,0,0,Moderate,None
6222,117,1,888270,FP,2,M,0,0,0,0,0,0,Moderate,None
2907,40000,1,887500,FP,3,M,0,0,0,0,0,0,Moderate,None
4823,1250,17,887500,AL,1,M,91,92,1,0,0,0,Moderate,None
3883,4030,30,886150,AL,1,M,91,66,1,0,0,0,Moderate,None
2421,44012.54,16,885300,AL,3,M,14,56,1,0,0,0,Moderate,None
596,55488,6,884350,FR,1,M,0,0,0,0,0,0,Moderate,None
5405,600,3,884100,FR,0,M,0,0,0,0,0,0,Moderate,None
5931,260,3,882500,AL,0,F,0,0,1,0,0,0,Moderate,None
96,304580.28,47,882000,AL,3,M,63,67,1,0,0,0,Moderate,None
5798,350,2,882000,FP,2,F,0,0,0,0,0,0,Moderate,None
6169,145.9,3,880000,AL,0,F,0,0,1,0,0,0,Moderate,None
